Measurement date,PM2.5
2017-01-01,63
2017-01-02,69
2017-01-03,54
2017-01-04,34
2017-01-05,43
2017-01-06,5
2017-01-07,42
2017-01-08,22
2017-01-09,84
2017-01-10,10
2017-01-11,7
2017-01-12,18
2017-01-13,7
2017-01-14,10
2017-01-15,12
2017-01-16,28
2017-01-17,43
2017-01-18,77
2017-01-19,93
2017-01-20,47
2017-01-21,50
2017-01-22,14
2017-01-23,36
2017-01-24,26
2017-01-25,52
2017-01-26,49
2017-01-27,13
2017-01-28,11
2017-01-29,20
2017-01-30,41
2017-01-31,23
2017-02-01,26
2017-02-02,4
2017-02-03,41
2017-02-04,74
2017-02-05,75
2017-02-06,29
2017-02-07,21
2017-02-08,57
2017-02-09,16
2017-02-10,12
2017-02-11,16
2017-02-12,15
2017-02-13,34
2017-02-14,31
2017-02-15,46
2017-02-16,73
2017-02-17,12
2017-02-18,6
2017-02-19,31
2017-02-20,25
2017-02-21,25
2017-02-22,29
2017-02-23,13
2017-02-24,9
2017-02-25,52
2017-02-26,49
2017-02-27,29
2017-02-28,30
2017-03-01,49
2017-03-02,16
2017-03-03,20
2017-03-04,49
2017-03-05,57
2017-03-06,29
2017-03-07,21
2017-03-08,27
2017-03-09,21
2017-03-10,25
2017-03-11,27
2017-03-12,88
2017-03-13,33
2017-03-14,26
2017-03-15,23
2017-03-16,47
2017-03-17,67
2017-03-18,66
2017-03-19,61
2017-03-20,56
2017-03-21,63
2017-03-22,23
2017-03-23,53
2017-03-24,24
2017-03-25,58
2017-03-26,43
2017-03-27,66
2017-03-28,80
2017-03-29,32
2017-03-30,37
2017-03-31,37
2017-04-01,12
2017-04-02,25
2017-04-03,65
2017-04-04,57
2017-04-05,52
2017-04-06,16
2017-04-07,17
2017-04-08,56
2017-04-09,46
2017-04-10,12
2017-04-11,14
2017-04-12,6
2017-04-13,18
2017-04-14,8
2017-04-15,32
2017-04-16,36
2017-04-17,31
2017-04-18,30
2017-04-19,17
2017-04-20,20
2017-04-21,21
2017-04-22,28
2017-04-23,34
2017-04-24,21
2017-04-25,18
2017-04-26,8
2017-04-27,8
2017-04-28,17
2017-04-29,37
2017-04-30,52
2017-05-01,27
2017-05-02,49
2017-05-03,30
2017-05-04,35
2017-05-05,19
2017-05-06,15
2017-05-07,14
2017-05-08,41
2017-05-09,25
2017-05-10,19
2017-05-11,15
2017-05-12,36
2017-05-13,23
2017-05-14,7
2017-05-15,4
2017-05-16,13
2017-05-17,21
2017-05-18,19
2017-05-19,18
2017-05-20,23
2017-05-21,11
2017-05-22,25
2017-05-23,20
2017-05-24,11
2017-05-25,15
2017-05-26,3
2017-05-27,11
2017-05-28,10
2017-05-29,39
2017-05-30,22
2017-05-31,14
2017-06-01,18
2017-06-02,3
2017-06-03,7
2017-06-04,4
2017-06-05,8
2017-06-06,7
2017-06-07,4
2017-06-08,35
2017-06-09,41
2017-06-10,20
2017-06-11,4
2017-06-12,3
2017-06-13,18
2017-06-14,23
2017-06-15,27
2017-06-16,30
2017-06-17,35
2017-06-18,25
2017-06-19,36
2017-06-20,26
2017-06-21,33
2017-06-22,24
2017-06-23,20
2017-06-24,18
2017-06-25,18
2017-06-26,16
2017-06-27,11
2017-06-28,41
2017-06-29,25
2017-06-30,40
2017-07-01,31
2017-07-02,11
2017-07-03,14
2017-07-04,19
2017-07-05,28
2017-07-06,38
2017-07-07,10
2017-07-08,5
2017-07-09,9
2017-07-10,11
2017-07-11,16
2017-07-12,25
2017-07-13,27
2017-07-14,34
2017-07-15,10
2017-07-16,3
2017-07-17,9
2017-07-18,15
2017-07-19,22
2017-07-20,38
2017-07-21,47
2017-07-22,40
2017-07-23,35
2017-07-24,21
2017-07-25,15
2017-07-26,5
2017-07-27,8
2017-07-28,23
2017-07-29,3
2017-07-30,13
2017-07-31,10
2017-08-01,3
2017-08-02,14
2017-08-03,14
2017-08-04,12
2017-08-05,15
2017-08-06,7
2017-08-07,20
2017-08-08,30
2017-08-09,27
2017-08-10,3
2017-08-11,3
2017-08-12,3
2017-08-13,3
2017-08-14,3
2017-08-15,3
2017-08-16,3
2017-08-17,3
2017-08-18,10
2017-08-19,9
2017-08-20,3
2017-08-21,3
2017-08-22,3
2017-08-23,14
2017-08-24,6
2017-08-25,14
2017-08-26,5
2017-08-27,6
2017-08-28,16
2017-08-29,3
2017-08-30,5
2017-08-31,19
2017-09-01,4
2017-09-02,3
2017-09-03,8
2017-09-04,10
2017-09-05,10
2017-09-06,14
2017-09-07,23
2017-09-08,44
2017-09-09,34
2017-09-10,29
2017-09-11,14
2017-09-12,9
2017-09-13,4
2017-09-14,7
2017-09-15,4
2017-09-16,3
2017-09-17,3
2017-09-18,3
2017-09-19,29
2017-09-20,3
2017-09-21,10
2017-09-22,13
2017-09-23,19
2017-09-24,31
2017-09-25,26
2017-09-26,18
2017-09-27,10
2017-09-28,4
2017-09-29,8
2017-09-30,9
2017-10-01,20
2017-10-02,8
2017-10-03,9
2017-10-04,7
2017-10-05,5
2017-10-06,7
2017-10-07,3
2017-10-08,5
2017-10-09,13
2017-10-10,17
2017-10-11,4
2017-10-12,9
2017-10-13,17
2017-10-14,12
2017-10-15,11
2017-10-16,15
2017-10-17,18
2017-10-18,0
2017-10-19,8
2017-10-20,17
2017-10-21,25
2017-10-22,12
2017-10-23,5
2017-10-24,12
2017-10-25,22
2017-10-26,28
2017-10-27,44
2017-10-28,24
2017-10-29,37
2017-10-30,13
2017-10-31,15
2017-11-01,26
2017-11-02,33
2017-11-03,32
2017-11-04,32
2017-11-05,39
2017-11-06,28
2017-11-07,31
2017-11-08,60
2017-11-09,18
2017-11-10,32
2017-11-11,8
2017-11-12,17
