Measurement date,PM2.5
2019-01-01,25
2019-01-02,19
2019-01-03,23
2019-01-04,30
2019-01-05,36
2019-01-06,23
2019-01-07,32
2019-01-08,16
2019-01-09,14
2019-01-10,35
2019-01-11,40
2019-01-12,66
2019-01-13,62
2019-01-14,104
2019-01-15,102
2019-01-16,15
2019-01-17,24
2019-01-18,16
2019-01-19,64
2019-01-20,20
2019-01-21,18
2019-01-22,25
2019-01-23,65
2019-01-24,19
2019-01-25,14
2019-01-26,15
2019-01-27,23
2019-01-28,49
2019-01-29,15
2019-01-30,31
2019-01-31,13
2019-02-01,16
2019-02-02,29
2019-02-03,20
2019-02-04,41
2019-02-05,18
2019-02-06,31
2019-02-07,36
2019-02-08,10
2019-02-09,10
2019-02-10,18
2019-02-11,13
2019-02-12,37
2019-02-13,16
2019-02-14,21
2019-02-15,22
2019-02-16,43
2019-02-17,14
2019-02-18,23
2019-02-19,33
2019-02-20,36
2019-02-21,70
2019-02-22,65
2019-02-23,46
2019-02-24,30
2019-02-25,64
2019-02-26,26
2019-02-27,35
2019-02-28,52
2019-03-01,73
2019-03-02,76
2019-03-03,55
2019-03-04,109
2019-03-05,127
2019-03-06,111
2019-03-07,20
2019-03-08,29
2019-03-18,22
2019-03-19,28
2019-03-20,79
2019-03-21,22
2019-03-22,20
2019-03-23,15
2019-03-24,14
2019-03-25,15
2019-03-26,36
2019-03-27,52
2019-03-28,46
2019-03-29,10
2019-03-30,25
2019-03-31,30
2019-04-01,13
2019-04-02,13
2019-04-03,22
2019-04-04,23
2019-04-05,37
2019-04-06,17
2019-04-07,13
2019-04-08,9
2019-04-09,8
2019-04-10,2
2019-04-11,11
2019-04-12,30
2019-04-13,32
2019-04-14,22
2019-04-15,13
2019-04-16,21
2019-04-17,17
2019-04-18,18
2019-04-19,10
2019-04-20,17
2019-04-21,10
2019-04-22,28
2019-04-23,36
2019-04-24,18
2019-04-25,12
2019-04-26,1
2019-04-27,3
2019-04-28,15
2019-04-29,10
2019-04-30,15
2019-05-01,16
2019-05-02,13
2019-05-03,15
2019-05-04,50
2019-05-05,40
2019-05-06,12
2019-05-07,12
2019-05-08,13
2019-05-09,17
2019-05-10,21
2019-05-11,32
2019-05-12,22
2019-05-13,32
2019-05-14,16
2019-05-15,37
2019-05-17,23
2019-05-19,6
2019-05-20,9
2019-05-21,11
2019-05-22,22
2019-05-23,38
2019-05-24,29
2019-05-25,59
2019-05-26,16
2019-05-27,13
2019-05-28,5
2019-05-29,21
2019-05-30,15
2019-05-31,7
2019-06-01,22
2019-06-02,15
2019-06-03,17
2019-06-04,10
2019-06-05,18
2019-06-06,27
2019-06-07,4
2019-06-08,9
2019-06-09,18
2019-06-10,4
2019-06-11,3
2019-06-12,11
2019-06-13,12
2019-06-14,16
2019-06-15,18
2019-06-16,3
2019-06-17,12
2019-06-18,9
2019-06-19,19
2019-06-20,17
2019-06-21,16
2019-06-22,5
2019-06-23,6
2019-06-24,6
2019-06-25,14
2019-06-26,19
2019-06-27,2
2019-06-28,24
